Drug 1,Drug 2,Interaction Description
Paroxetine,Duloxetine,Paroxetine may increase the serotonergic activities of Duloxetine.
Cephalexin,Duloxetine,The metabolism of Duloxetine can be decreased when combined with Cephalexin.
Clonazepam,Duloxetine,The risk or severity of adverse effects can be increased when Clonazepam is combined with Duloxetine.
Isosorbide Mononitrate,Duloxetine,Isosorbide mononitrate may increase the orthostatic hypotensive activities of Duloxetine.
Methylphenidate,Duloxetine,The metabolism of Duloxetine can be decreased when combined with Methylphenidate.
Levetiracetam,Duloxetine,The risk or severity of adverse effects can be increased when Levetiracetam is combined with Duloxetine.
Metoprolol,Citalopram,The serum concentration of Citalopram can be increased when it is combined with Metoprolol.
Chlorthalidone,Citalopram,Chlorthalidone may increase the hyponatremic activities of Citalopram.
Hydrochlorothiazide,Citalopram,Hydrochlorothiazide may increase the hyponatremic activities of Citalopram.
Carvedilol,Citalopram,The metabolism of Citalopram can be decreased when combined with Carvedilol.
Propranolol,Citalopram,The metabolism of Citalopram can be decreased when combined with Propranolol.
Warfarin,Citalopram,The metabolism of Citalopram can be decreased when combined with Warfarin.
Rosiglitazone,Citalopram,Rosiglitazone may increase the hypoglycemic activities of Citalopram.
Pioglitazone,Citalopram,Pioglitazone may increase the hypoglycemic activities of Citalopram.
Metformin,Citalopram,Metformin may increase the hypoglycemic activities of Citalopram.
Fluticasone Propionate,Citalopram,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Citalopram.
Naproxen,Citalopram,The metabolism of Citalopram can be decreased when combined with Naproxen.
Ibuprofen,Citalopram,The metabolism of Citalopram can be decreased when combined with Ibuprofen.
Quetiapine,Citalopram,The metabolism of Citalopram can be decreased when combined with Quetiapine.
Simvastatin,Citalopram,The metabolism of Citalopram can be decreased when combined with Simvastatin.
Rosuvastatin,Citalopram,The metabolism of Citalopram can be decreased when combined with Rosuvastatin.
Amphetamine,Citalopram,The metabolism of Citalopram can be decreased when combined with Amphetamine.
Aripiprazole,Citalopram,The serum concentration of Citalopram can be increased when it is combined with Aripiprazole.
Morphine,Citalopram,The metabolism of Citalopram can be decreased when combined with Morphine.
Ranitidine,Citalopram,The metabolism of Citalopram can be decreased when combined with Ranitidine.
Pregabalin,Citalopram,The risk or severity of adverse effects can be increased when Pregabalin is combined with Citalopram.
Mirtazapine,Citalopram,The risk or severity of adverse effects can be increased when Mirtazapine is combined with Citalopram.
Alprazolam,Citalopram,The risk or severity of adverse effects can be increased when Alprazolam is combined with Citalopram.
Lorazepam,Citalopram,The risk or severity of adverse effects can be increased when Lorazepam is combined with Citalopram.
Cetirizine,Citalopram,The risk or severity of adverse effects can be increased when Cetirizine is combined with Citalopram.
Lamotrigine,Citalopram,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Citalopram.
Cyclobenzaprine,Citalopram,The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Citalopram.
Gabapentin,Citalopram,The risk or severity of adverse effects can be increased when Gabapentin is combined with Citalopram.
Diazepam,Citalopram,The metabolism of Citalopram can be decreased when combined with Diazepam.
Loratadine,Citalopram,The metabolism of Citalopram can be decreased when combined with Loratadine.
Risperidone,Citalopram,The metabolism of Citalopram can be decreased when combined with Risperidone.
Cephalexin,Citalopram,The metabolism of Citalopram can be decreased when combined with Cephalexin.
Amoxicillin,Citalopram,The metabolism of Citalopram can be decreased when combined with Amoxicillin.
Bupropion,Citalopram,The risk or severity of adverse effects can be increased when Bupropion is combined with Citalopram.
Clonazepam,Citalopram,The risk or severity of adverse effects can be increased when Clonazepam is combined with Citalopram.
Methylphenidate,Citalopram,The metabolism of Citalopram can be decreased when combined with Methylphenidate.
Levetiracetam,Citalopram,The risk or severity of adverse effects can be increased when Levetiracetam is combined with Citalopram.
Metoprolol,Atorvastatin,The serum concentration of Atorvastatin can be increased when it is combined with Metoprolol.
Ciprofloxacin,Atorvastatin,The risk or severity of adverse effects can be increased when Ciprofloxacin is combined with Atorvastatin.
Levofloxacin,Atorvastatin,The risk or severity of adverse effects can be increased when Levofloxacin is combined with Atorvastatin.
Prednisone,Atorvastatin,The risk or severity of adverse effects can be increased when Prednisone is combined with Atorvastatin.
Tamoxifen,Atorvastatin,The risk or severity of adverse effects can be increased when Tamoxifen is combined with Atorvastatin.
Warfarin,Atorvastatin,Warfarin may increase the anticoagulant activities of Atorvastatin.
Bromocriptine,Atorvastatin,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Atorvastatin.
Fluticasone Propionate,Atorvastatin,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Atorvastatin.
Fluoxetine,Atorvastatin,The risk or severity of adverse effects can be increased when Fluoxetine is combined with Atorvastatin.
Lovastatin,Atorvastatin,The risk or severity of adverse effects can be increased when Lovastatin is combined with Atorvastatin.
Pravastatin,Atorvastatin,The risk or severity of adverse effects can be increased when Pravastatin is combined with Atorvastatin.
Simvastatin,Atorvastatin,The risk or severity of adverse effects can be increased when Simvastatin is combined with Atorvastatin.
Rosuvastatin,Atorvastatin,The risk or severity of adverse effects can be increased when Rosuvastatin is combined with Atorvastatin.
Sildenafil,Atorvastatin,The risk or severity of adverse effects can be increased when Sildenafil is combined with Atorvastatin.
Fentanyl,Atorvastatin,The risk or severity of adverse effects can be increased when Fentanyl is combined with Atorvastatin.
Tramadol,Atorvastatin,The risk or severity of adverse effects can be increased when Tramadol is combined with Atorvastatin.
Amlodipine,Atorvastatin,The risk or severity of adverse effects can be increased when Amlodipine is combined with Atorvastatin.
Losartan,Atorvastatin,The risk or severity of adverse effects can be increased when Losartan is combined with Atorvastatin.
Omeprazole,Atorvastatin,The risk or severity of adverse effects can be increased when Omeprazole is combined with Atorvastatin.
Ranitidine,Atorvastatin,The risk or severity of adverse effects can be increased when Ranitidine is combined with Atorvastatin.
Olanzapine,Atorvastatin,The risk or severity of adverse effects can be increased when Olanzapine is combined with Atorvastatin.
Pregabalin,Atorvastatin,The risk or severity of adverse effects can be increased when Pregabalin is combined with Atorvastatin.
Mirtazapine,Atorvastatin,The risk or severity of adverse effects can be increased when Mirtazapine is combined with Atorvastatin.
Alprazolam,Atorvastatin,The risk or severity of adverse effects can be increased when Alprazolam is combined with Atorvastatin.
Lamotrigine,Atorvastatin,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Atorvastatin.
Gabapentin,Atorvastatin,The risk or severity of adverse effects can be increased when Gabapentin is combined with Atorvastatin.
Diazepam,Atorvastatin,The risk or severity of adverse effects can be increased when Diazepam is combined with Atorvastatin.
Loratadine,Atorvastatin,The risk or severity of adverse effects can be increased when Loratadine is combined with Atorvastatin.
Risperidone,Atorvastatin,The risk or severity of adverse effects can be increased when Risperidone is combined with Atorvastatin.
Venlafaxine,Atorvastatin,The risk or severity of adverse effects can be increased when Venlafaxine is combined with Atorvastatin.
Sertraline,Atorvastatin,The risk or severity of adverse effects can be increased when Sertraline is combined with Atorvastatin.
Ezetimibe,Atorvastatin,The risk or severity of adverse effects can be increased when Ezetimibe is combined with Atorvastatin.
Metronidazole,Atorvastatin,The risk or severity of adverse effects can be increased when Metronidazole is combined with Atorvastatin.
Metoprolol,Tamoxifen,The serum concentration of Tamoxifen can be increased when it is combined with Metoprolol.
Ciprofloxacin,Tamoxifen,Ciprofloxacin may increase the QTc-prolonging activities of Tamoxifen.
Levofloxacin,Tamoxifen,Levofloxacin may increase the QTc-prolonging activities of Tamoxifen.
Warfarin,Tamoxifen,Warfarin may increase the anticoagulant activities of Tamoxifen.
Rosiglitazone,Tamoxifen,The metabolism of Tamoxifen can be decreased when combined with Rosiglitazone.
Pioglitazone,Tamoxifen,The metabolism of Tamoxifen can be decreased when combined with Pioglitazone.
Bromocriptine,Tamoxifen,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Tamoxifen.
Naproxen,Tamoxifen,The metabolism of Tamoxifen can be decreased when combined with Naproxen.
Ibuprofen,Tamoxifen,The metabolism of Tamoxifen can be decreased when combined with Ibuprofen.
Citalopram,Tamoxifen,The serum concentration of the active metabolites of Tamoxifen can be reduced when Tamoxifen is used in combination with Citalopram resulting in a loss in efficacy.
Quetiapine,Tamoxifen,Quetiapine may increase the QTc-prolonging activities of Tamoxifen.
Escitalopram,Tamoxifen,Escitalopram may increase the QTc-prolonging activities of Tamoxifen.
Pravastatin,Tamoxifen,The serum concentration of Tamoxifen can be increased when it is combined with Pravastatin.
Simvastatin,Tamoxifen,The metabolism of Tamoxifen can be decreased when combined with Simvastatin.
Rosuvastatin,Tamoxifen,The serum concentration of Tamoxifen can be increased when it is combined with Rosuvastatin.
Ondansetron,Tamoxifen,Ondansetron may increase the QTc-prolonging activities of Tamoxifen.
Morphine,Tamoxifen,The metabolism of Tamoxifen can be decreased when combined with Morphine.
Duloxetine,Tamoxifen,The serum concentration of the active metabolites of Tamoxifen can be reduced when Tamoxifen is used in combination with Duloxetine resulting in a loss in efficacy.
Mirtazapine,Tamoxifen,The metabolism of Tamoxifen can be decreased when combined with Mirtazapine.
Diazepam,Tamoxifen,The metabolism of Tamoxifen can be decreased when combined with Diazepam.
Loratadine,Tamoxifen,The metabolism of Tamoxifen can be decreased when combined with Loratadine.
Venlafaxine,Tamoxifen,The serum concentration of the active metabolites of Tamoxifen can be reduced when Tamoxifen is used in combination with Venlafaxine resulting in a loss in efficacy.
Sertraline,Tamoxifen,The serum concentration of the active metabolites of Tamoxifen can be reduced when Tamoxifen is used in combination with Sertraline resulting in a loss in efficacy.
Metoprolol,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Metoprolol.
Methotrexate,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Methotrexate.
Tamoxifen,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Tamoxifen.
Carvedilol,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Carvedilol.
Propranolol,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Propranolol.
Warfarin,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Warfarin.
Rosiglitazone,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Rosiglitazone.
Pioglitazone,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Pioglitazone.
Bromocriptine,Omeprazole,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Omeprazole.
Naproxen,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Naproxen.
Ibuprofen,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Ibuprofen.
Citalopram,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Citalopram.
Fluoxetine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Fluoxetine.
Quetiapine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Quetiapine.
Escitalopram,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Escitalopram.
Pravastatin,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Pravastatin.
Simvastatin,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Simvastatin.
Rosuvastatin,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Rosuvastatin.
Ondansetron,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Ondansetron.
Esomeprazole,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Esomeprazole.
Ranitidine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Ranitidine.
Mirtazapine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Mirtazapine.
Alprazolam,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Alprazolam.
Diazepam,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Diazepam.
Loratadine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Loratadine.
Sertraline,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Sertraline.
Amoxicillin,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Amoxicillin.
Bupropion,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Bupropion.
Metronidazole,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Metronidazole.
Metoprolol,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Metoprolol.
Methotrexate,Esomeprazole,The serum concentration of Esomeprazole can be increased when it is combined with Methotrexate.
Tamoxifen,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Tamoxifen.
Propranolol,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Propranolol.
Warfarin,Esomeprazole,The serum concentration of Esomeprazole can be increased when it is combined with Warfarin.
Ibuprofen,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Ibuprofen.
Citalopram,Esomeprazole,The serum concentration of Esomeprazole can be increased when it is combined with Citalopram.
Fluoxetine,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Fluoxetine.
Quetiapine,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Quetiapine.
Escitalopram,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Escitalopram.
Rosuvastatin,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Rosuvastatin.
Ranitidine,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Ranitidine.
Diazepam,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Diazepam.
Sertraline,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Sertraline.
Amoxicillin,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Amoxicillin.
Levofloxacin,Ciprofloxacin,Levofloxacin may increase the QTc-prolonging activities of Ciprofloxacin.
Methotrexate,Ciprofloxacin,The serum concentration of Ciprofloxacin can be increased when it is combined with Methotrexate.
Bromocriptine,Ciprofloxacin,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Ciprofloxacin.
Citalopram,Ciprofloxacin,Citalopram may increase the QTc-prolonging activities of Ciprofloxacin.
Amiodarone,Ciprofloxacin,Amiodarone may increase the QTc-prolonging activities of Ciprofloxacin.
Fluoxetine,Ciprofloxacin,Fluoxetine may increase the QTc-prolonging activities of Ciprofloxacin.
Lovastatin,Ciprofloxacin,The serum concentration of Ciprofloxacin can be increased when it is combined with Lovastatin.
Quetiapine,Ciprofloxacin,Quetiapine may increase the QTc-prolonging activities of Ciprofloxacin.
Escitalopram,Ciprofloxacin,Escitalopram may increase the QTc-prolonging activities of Ciprofloxacin.
Pravastatin,Ciprofloxacin,The serum concentration of Ciprofloxacin can be increased when it is combined with Pravastatin.
Simvastatin,Ciprofloxacin,The serum concentration of Ciprofloxacin can be increased when it is combined with Simvastatin.
Rosuvastatin,Ciprofloxacin,The serum concentration of Ciprofloxacin can be increased when it is combined with Rosuvastatin.
Ondansetron,Ciprofloxacin,Ondansetron may increase the QTc-prolonging activities of Ciprofloxacin.
Metoprolol,Rosiglitazone,The serum concentration of Rosiglitazone can be increased when it is combined with Metoprolol.
Furosemide,Rosiglitazone,The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Furosemide.
Prednisone,Rosiglitazone,The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Prednisone.
Chlorthalidone,Rosiglitazone,The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Chlorthalidone.
Hydrochlorothiazide,Rosiglitazone,The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Hydrochlorothiazide.
Warfarin,Rosiglitazone,Warfarin may increase the anticoagulant activities of Rosiglitazone.
Pioglitazone,Rosiglitazone,The metabolism of Rosiglitazone can be decreased when combined with Pioglitazone.
Naproxen,Rosiglitazone,The metabolism of Rosiglitazone can be decreased when combined with Naproxen.
Ibuprofen,Rosiglitazone,The metabolism of Rosiglitazone can be decreased when combined with Ibuprofen.
Quetiapine,Rosiglitazone,The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Quetiapine.
Simvastatin,Rosiglitazone,The metabolism of Rosiglitazone can be decreased when combined with Simvastatin.
Aripiprazole,Rosiglitazone,The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Aripiprazole.
Morphine,Rosiglitazone,The metabolism of Rosiglitazone can be decreased when combined with Morphine.
Olanzapine,Rosiglitazone,The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Olanzapine.
Mirtazapine,Rosiglitazone,The metabolism of Rosiglitazone can be decreased when combined with Mirtazapine.
Diazepam,Rosiglitazone,The metabolism of Rosiglitazone can be decreased when combined with Diazepam.
Loratadine,Rosiglitazone,The metabolism of Rosiglitazone can be decreased when combined with Loratadine.
Risperidone,Rosiglitazone,The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Risperidone.
Atorvastatin,Rosiglitazone,The metabolism of Rosiglitazone can be decreased when combined with Atorvastatin.
Bupropion,Rosiglitazone,The metabolism of Rosiglitazone can be decreased when combined with Bupropion.
Isosorbide Mononitrate,Rosiglitazone,The risk or severity of adverse effects can be increased when Isosorbide mononitrate is combined with Rosiglitazone.
Metoprolol,Pioglitazone,The serum concentration of Pioglitazone can be increased when it is combined with Metoprolol.
Furosemide,Pioglitazone,The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Furosemide.
Prednisone,Pioglitazone,The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Prednisone.
Chlorthalidone,Pioglitazone,The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Chlorthalidone.
Hydrochlorothiazide,Pioglitazone,The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Hydrochlorothiazide.
Warfarin,Pioglitazone,The metabolism of Pioglitazone can be decreased when combined with Warfarin.
Naproxen,Pioglitazone,The metabolism of Pioglitazone can be decreased when combined with Naproxen.
Ibuprofen,Pioglitazone,The metabolism of Pioglitazone can be decreased when combined with Ibuprofen.
Quetiapine,Pioglitazone,The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Quetiapine.
Simvastatin,Pioglitazone,The metabolism of Pioglitazone can be decreased when combined with Simvastatin.
Morphine,Pioglitazone,The metabolism of Pioglitazone can be decreased when combined with Morphine.
Olanzapine,Pioglitazone,The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Olanzapine.
Mirtazapine,Pioglitazone,The metabolism of Pioglitazone can be decreased when combined with Mirtazapine.
Diazepam,Pioglitazone,The metabolism of Pioglitazone can be decreased when combined with Diazepam.
Loratadine,Pioglitazone,The metabolism of Pioglitazone can be decreased when combined with Loratadine.
Risperidone,Pioglitazone,The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Risperidone.
Atorvastatin,Pioglitazone,The metabolism of Pioglitazone can be decreased when combined with Atorvastatin.
Bupropion,Pioglitazone,The metabolism of Pioglitazone can be decreased when combined with Bupropion.
Tamoxifen,Clopidogrel,The metabolism of Clopidogrel can be decreased when combined with Tamoxifen.
Warfarin,Clopidogrel,Warfarin may increase the anticoagulant activities of Clopidogrel.
Rosiglitazone,Clopidogrel,Rosiglitazone may increase the anticoagulant activities of Clopidogrel.
Citalopram,Clopidogrel,The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Citalopram resulting in a loss in efficacy.
Amiodarone,Clopidogrel,The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Amiodarone resulting in a loss in efficacy.
Fluoxetine,Clopidogrel,The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Fluoxetine resulting in a loss in efficacy.
Rosuvastatin,Clopidogrel,The serum concentration of Clopidogrel can be increased when it is combined with Rosuvastatin.
Tramadol,Clopidogrel,The metabolism of Clopidogrel can be decreased when combined with Tramadol.
Morphine,Clopidogrel,Morphine may decrease the antiplatelet activities of Clopidogrel.
Amlodipine,Clopidogrel,The therapeutic efficacy of Clopidogrel can be decreased when used in combination with Amlodipine.
Esomeprazole,Clopidogrel,Esomeprazole may decrease the antiplatelet activities of Clopidogrel.
Omeprazole,Clopidogrel,Omeprazole may decrease the antiplatelet activities of Clopidogrel.
Pregabalin,Clopidogrel,The therapeutic efficacy of Clopidogrel can be decreased when used in combination with Pregabalin.
Lamotrigine,Clopidogrel,The therapeutic efficacy of Clopidogrel can be decreased when used in combination with Lamotrigine.
Gabapentin,Clopidogrel,The therapeutic efficacy of Clopidogrel can be decreased when used in combination with Gabapentin.
Diazepam,Clopidogrel,The metabolism of Clopidogrel can be decreased when combined with Diazepam.
Sertraline,Clopidogrel,The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Sertraline resulting in a loss in efficacy.
Bupropion,Clopidogrel,The serum concentration of Clopidogrel can be increased when it is combined with Bupropion.
Atenolol,Lisinopril,The risk or severity of adverse effects can be increased when Atenolol is combined with Lisinopril.
Metoprolol,Lisinopril,The risk or severity of adverse effects can be increased when Metoprolol is combined with Lisinopril.
Furosemide,Lisinopril,The risk or severity of adverse effects can be increased when Furosemide is combined with Lisinopril.
Ciprofloxacin,Lisinopril,Ciprofloxacin may increase the arrhythmogenic activities of Lisinopril.
Chlorthalidone,Lisinopril,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Lisinopril.
Propranolol,Lisinopril,The risk or severity of adverse effects can be increased when Propranolol is combined with Lisinopril.
Bromocriptine,Lisinopril,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Lisinopril.
Amiodarone,Lisinopril,The risk or severity of adverse effects can be increased when Amiodarone is combined with Lisinopril.
Lovastatin,Lisinopril,The serum concentration of Lisinopril can be increased when it is combined with Lovastatin.
Simvastatin,Lisinopril,The serum concentration of Lisinopril can be increased when it is combined with Simvastatin.
Rosuvastatin,Lisinopril,The serum concentration of Lisinopril can be increased when it is combined with Rosuvastatin.
Amphetamine,Lisinopril,Amphetamine may increase the hypotensive activities of Lisinopril.
Sildenafil,Lisinopril,The serum concentration of Lisinopril can be increased when it is combined with Sildenafil.
Aripiprazole,Lisinopril,Aripiprazole may increase the hypotensive activities of Lisinopril.
Morphine,Lisinopril,The risk or severity of adverse effects can be increased when Morphine is combined with Lisinopril.
Amlodipine,Lisinopril,The risk or severity of adverse effects can be increased when Amlodipine is combined with Lisinopril.
Enalapril,Lisinopril,The risk or severity of adverse effects can be increased when Enalapril is combined with Lisinopril.
Losartan,Lisinopril,The risk or severity of adverse effects can be increased when Losartan is combined with Lisinopril.
Mirtazapine,Lisinopril,The serum concentration of Lisinopril can be increased when it is combined with Mirtazapine.
Alprazolam,Lisinopril,The serum concentration of Lisinopril can be increased when it is combined with Alprazolam.
Cyclobenzaprine,Lisinopril,The serum concentration of Lisinopril can be increased when it is combined with Cyclobenzaprine.
Atorvastatin,Lisinopril,The serum concentration of Lisinopril can be increased when it is combined with Atorvastatin.
Latanoprost,Lisinopril,Latanoprost may increase the hypotensive activities of Lisinopril.
Allopurinol,Lisinopril,The risk of a hypersensitivity reaction to Lisinopril is increased when it is combined with Allopurinol.
Atenolol,Enalapril,The risk or severity of adverse effects can be increased when Atenolol is combined with Enalapril.
Metoprolol,Enalapril,The risk or severity of adverse effects can be increased when Metoprolol is combined with Enalapril.
Ciprofloxacin,Enalapril,Ciprofloxacin may increase the arrhythmogenic activities of Enalapril.
Chlorthalidone,Enalapril,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Enalapril.
Propranolol,Enalapril,The risk or severity of adverse effects can be increased when Propranolol is combined with Enalapril.
Bromocriptine,Enalapril,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Enalapril.
Lovastatin,Enalapril,The serum concentration of Enalapril can be increased when it is combined with Lovastatin.
Simvastatin,Enalapril,The serum concentration of Enalapril can be increased when it is combined with Simvastatin.
Rosuvastatin,Enalapril,The serum concentration of Enalapril can be increased when it is combined with Rosuvastatin.
Amphetamine,Enalapril,Amphetamine may increase the hypotensive activities of Enalapril.
Sildenafil,Enalapril,The serum concentration of Enalapril can be increased when it is combined with Sildenafil.
Aripiprazole,Enalapril,Aripiprazole may increase the hypotensive activities of Enalapril.
Morphine,Enalapril,The risk or severity of adverse effects can be increased when Morphine is combined with Enalapril.
Amlodipine,Enalapril,The risk or severity of adverse effects can be increased when Amlodipine is combined with Enalapril.
Losartan,Enalapril,The risk or severity of adverse effects can be increased when Losartan is combined with Enalapril.
Mirtazapine,Enalapril,The serum concentration of Enalapril can be increased when it is combined with Mirtazapine.
Alprazolam,Enalapril,The serum concentration of Enalapril can be increased when it is combined with Alprazolam.
Cyclobenzaprine,Enalapril,The serum concentration of Enalapril can be increased when it is combined with Cyclobenzaprine.
Atorvastatin,Enalapril,The serum concentration of Enalapril can be increased when it is combined with Atorvastatin.
Allopurinol,Enalapril,The risk of a hypersensitivity reaction to Enalapril is increased when it is combined with Allopurinol.
Atenolol,Amlodipine,The risk or severity of adverse effects can be increased when Atenolol is combined with Amlodipine.
Metoprolol,Amlodipine,The serum concentration of Amlodipine can be increased when it is combined with Metoprolol.
Chlorthalidone,Amlodipine,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Amlodipine.
Bromocriptine,Amlodipine,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Amlodipine.
Pravastatin,Amlodipine,The serum concentration of Amlodipine can be increased when it is combined with Pravastatin.
Simvastatin,Amlodipine,The serum concentration of Amlodipine can be increased when it is combined with Simvastatin.
Rosuvastatin,Amlodipine,The serum concentration of Amlodipine can be increased when it is combined with Rosuvastatin.
Amphetamine,Amlodipine,Amphetamine may increase the hypotensive activities of Amlodipine.
Sildenafil,Amlodipine,Sildenafil may increase the antihypertensive activities of Amlodipine.
Aripiprazole,Amlodipine,Aripiprazole may increase the hypotensive activities of Amlodipine.
Morphine,Amlodipine,The risk or severity of adverse effects can be increased when Morphine is combined with Amlodipine.
Atenolol,Carvedilol,Atenolol may increase the orthostatic hypotensive activities of Carvedilol.
Metoprolol,Carvedilol,Metoprolol may increase the orthostatic hypotensive activities of Carvedilol.
Furosemide,Carvedilol,The risk or severity of adverse effects can be increased when Furosemide is combined with Carvedilol.
Chlorthalidone,Carvedilol,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Carvedilol.
Hydrochlorothiazide,Carvedilol,The risk or severity of adverse effects can be increased when Hydrochlorothiazide is combined with Carvedilol.
Propranolol,Carvedilol,Propranolol may increase the orthostatic hypotensive activities of Carvedilol.
Bromocriptine,Carvedilol,Bromocriptine may increase the atrioventricular blocking (AV block) activities of Carvedilol.
Amphetamine,Carvedilol,Amphetamine may increase the hypotensive activities of Carvedilol.
Fentanyl,Carvedilol,Fentanyl may increase the bradycardic activities of Carvedilol.
Aripiprazole,Carvedilol,Aripiprazole may increase the hypotensive activities of Carvedilol.
Morphine,Carvedilol,The risk or severity of adverse effects can be increased when Morphine is combined with Carvedilol.
Amlodipine,Carvedilol,The risk or severity of adverse effects can be increased when Amlodipine is combined with Carvedilol.
Lisinopril,Carvedilol,The risk or severity of adverse effects can be increased when Lisinopril is combined with Carvedilol.
Enalapril,Carvedilol,The risk or severity of adverse effects can be increased when Enalapril is combined with Carvedilol.
Bimatoprost,Carvedilol,Bimatoprost may increase the hypotensive activities of Carvedilol.
Latanoprost,Carvedilol,Latanoprost may increase the hypotensive activities of Carvedilol.
Memantine,Carvedilol,Memantine may increase the bradycardic activities of Carvedilol.
Isosorbide Mononitrate,Carvedilol,The risk or severity of adverse effects can be increased when Isosorbide mononitrate is combined with Carvedilol.
Atenolol,Propranolol,The risk or severity of adverse effects can be increased when Atenolol is combined with Propranolol.
Metoprolol,Propranolol,The serum concentration of Propranolol can be increased when it is combined with Metoprolol.
Chlorthalidone,Propranolol,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Propranolol.
Bromocriptine,Propranolol,Bromocriptine may increase the atrioventricular blocking (AV block) activities of Propranolol.
Amiodarone,Propranolol,Amiodarone may increase the bradycardic activities of Propranolol.
Amphetamine,Propranolol,Amphetamine may increase the hypotensive activities of Propranolol.
Sildenafil,Propranolol,Sildenafil may increase the antihypertensive activities of Propranolol.
Fentanyl,Propranolol,Fentanyl may increase the bradycardic activities of Propranolol.
Aripiprazole,Propranolol,Aripiprazole may increase the hypotensive activities of Propranolol.
